Passport ID,Sample ID,Class,Country,Gender,Age Group,Angle,Distance Category,Resolution,Camera,Light Condition,Background,Timestamp
P_UK_427583910,P_UK_427583910_L1_B1_A1_D1,attack,UK,F,18-30,0°,close,4032x3024,iphone_13_front,natural_light,neutral_wall,2025-10-07T09:35:31+00:00Z
P_UK_427583910,P_UK_427583910_L1_B1_A1_D2,attack,UK,F,18-30,0°,far,4032x3024,iphone_13_front,natural_light,neutral_wall,2025-10-07T09:35:31+00:00Z
P_UK_427583910,P_UK_427583910_L1_B1_A2_D1,attack,UK,F,18-30,20°,close,4032x3024,iphone_13_front,natural_light,neutral_wall,2025-10-07T09:35:31+00:00Z
P_UK_427583910,P_UK_427583910_L1_B1_A2_D2,attack,UK,F,18-30,20°,far,4032x3024,iphone_13_front,natural_light,neutral_wall,2025-10-07T09:35:31+00:00Z
P_UK_427583910,P_UK_427583910_L1_B1_A3_D1,attack,UK,F,18-30,45°,close,4032x3024,iphone_13_front,natural_light,neutral_wall,2025-10-07T09:35:32+00:00Z
P_UK_427583910,P_UK_427583910_L1_B1_A3_D2,attack,UK,F,18-30,45°,far,4032x3024,iphone_13_front,natural_light,neutral_wall,2025-10-07T09:35:32+00:00Z
P_UK_427583910,P_UK_427583910_L1_B2_A1_D1,attack,UK,F,18-30,0°,close,4032x3024,iphone_13_front,natural_light,textured_table,2025-10-07T09:35:32+00:00Z
P_UK_427583910,P_UK_427583910_L1_B2_A1_D2,attack,UK,F,18-30,0°,far,4032x3024,iphone_13_front,natural_light,textured_table,2025-10-07T09:35:32+00:00Z
P_UK_427583910,P_UK_427583910_L1_B2_A2_D1,attack,UK,F,18-30,20°,close,4032x3024,iphone_13_front,natural_light,textured_table,2025-10-07T09:35:32+00:00Z
P_UK_427583910,P_UK_427583910_L1_B2_A2_D2,attack,UK,F,18-30,20°,far,4032x3024,iphone_13_front,natural_light,textured_table,2025-10-07T09:35:32+00:00Z
P_UK_427583910,P_UK_427583910_L1_B2_A3_D1,attack,UK,F,18-30,45°,close,4032x3024,iphone_13_front,natural_light,textured_table,2025-10-07T09:35:32+00:00Z
